Zipcode,City,State
98001,Auburn,Washington
98002,Auburn,Washington
98003,Federal Way,Washington
98004,Bellevue,Washington
98005,Bellevue,Washington
98006,Bellevue,Washington
98007,Bellevue,Washington
98008,Bellevue,Washington
98009,Bellevue,Washington
98010,Black Diamond,Washington
98011,Bothell,Washington
98013,Burton,Washington
98014,Carnation,Washington
98015,Bellevue,Washington
98019,Duvall,Washington
98022,Enumclaw,Washington
98023,Federal Way,Washington
98024,Fall City,Washington
98025,Hobart,Washington
98027,Issaquah,Washington
98028,Kenmore,Washington
98029,Issaquah,Washington
98030,Kent,Washington
98031,Kent,Washington
98032,Kent,Washington
98033,Kirkland,Washington
98034,Kirkland,Washington
98035,Kent,Washington
98038,Maple Valley,Washington
98039,Medina,Washington
98040,Mercer Island,Washington
98041,Bothell,Washington
98042,Kent,Washington
98045,North Bend,Washington
98047,Pacific,Washington
98050,Preston,Washington
98051,Ravensdale,Washington
98052,Redmond,Washington
98053,Redmond,Washington
98054,Redondo,Washington
98055,Renton,Washington
98056,Renton,Washington
98057,Renton,Washington
98058,Renton,Washington
98059,Renton,Washington
98062,Seahurst,Washington
98063,Federal Way,Washington
98064,Kent,Washington
98065,Snoqualmie,Washington
98070,Vashon,Washington
98071,Auburn,Washington
98072,Woodinville,Washington
98073,Redmond,Washington
98074,Sammamish,Washington
98075,Sammamish,Washington
98077,Woodinville,Washington
98083,Kirkland,Washington
98089,Kent,Washington
98092,Auburn,Washington
98093,Federal Way,Washington
98101,Seattle,Washington
98102,Seattle,Washington
98103,Seattle,Washington
98104,Seattle,Washington
98105,Seattle,Washington
98106,Seattle,Washington
98107,Seattle,Washington
98108,Seattle,Washington
98109,Seattle,Washington
98111,Seattle,Washington
98112,Seattle,Washington
98113,Seattle,Washington
98114,Seattle,Washington
98115,Seattle,Washington
98116,Seattle,Washington
98117,Seattle,Washington
98118,Seattle,Washington
98119,Seattle,Washington
98121,Seattle,Washington
98122,Seattle,Washington
98124,Seattle,Washington
98125,Seattle,Washington
98126,Seattle,Washington
98127,Seattle,Washington
98129,Seattle,Washington
98131,Seattle,Washington
98132,Seattle,Washington
98133,Seattle,Washington
98134,Seattle,Washington
98136,Seattle,Washington
98138,Seattle,Washington
98139,Seattle,Washington
98141,Seattle,Washington
98144,Seattle,Washington
98145,Seattle,Washington
98146,Seattle,Washington
98148,Seattle,Washington
98151,Seattle,Washington
98154,Seattle,Washington
98155,Seattle,Washington
98158,Seattle,Washington
98160,Seattle,Washington
98161,Seattle,Washington
98164,Seattle,Washington
98165,Seattle,Washington
98166,Seattle,Washington
98168,Seattle,Washington
98170,Seattle,Washington
98171,Seattle,Washington
98174,Seattle,Washington
98175,Seattle,Washington
98177,Seattle,Washington
98178,Seattle,Washington
98181,Seattle,Washington
98184,Seattle,Washington
98185,Seattle,Washington
98188,Seattle,Washington
98190,Seattle,Washington
98191,Seattle,Washington
98194,Seattle,Washington
98195,Seattle,Washington
98198,Seattle,Washington
98199,Seattle,Washington
98224,Baring,Washington
98288,Skykomish,Washington
